Name,x,y,z
BY Draconis, 4.89, -32.8, 42.0
59 Draconis,6.15, -19.8, 86.6
Sigma Draconis,2.564, -6.014, 17.64
Theta Draconis,-17.5, -31.0, 58.2
CR Draconis,-16.7, -34.6, 55.4
DN Draconis,-5.65, -17.5, 30.7
19 Draconis,-5.701, -19.89, 44.65
Omega Draconis,-2.78, -27.6, 71.3
36 Draconis,2.01, -33.1, 69.1
Eta Draconis,-17.0, -38.2, 77.1
Mu Draconis,-12.1, -49.7, 71.6
26 Draconis,-2.359, -21.53, 40.53
Psi(1) Draconis,-1.73, -22.0, 68.4
Chi Draconis, 0.716, -7.768, 25.10
Gamma Draconis,-1.36, -92.0, 116
